Station,To,Departure,Arrival,Type,ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Score
Ehv,Ehs,2025-08-02 12:06:00,2025-08-02 12:09:00,Spr,72,29235606,29235609,3,2.6,52.0,29235600,6,2.6,0.3
Ehs,Bet,2025-08-02 12:09:00,2025-08-02 12:15:00,Spr,72,29235609,29235615,6,7.4,74.0,29235609,0,7.4,1.2
Bet,Btl,2025-08-02 12:15:00,2025-08-02 12:22:00,Spr,72,29235615,29235622,7,9.9,84.9,29235615,0,9.9,1.4
Btl,Vg,2025-08-02 12:22:00,2025-08-02 12:28:00,Spr,72,29235622,29235628,6,8.0,80.0,29235622,0,8.0,1.3
Vg,Ht,2025-08-02 12:28:00,2025-08-02 12:32:00,Spr,72,29235628,29235632,4,4.2,63.0,29235628,0,4.2,1.1
Ht,Tb,2025-08-02 12:41:00,2025-08-02 12:56:00,Spr,28,29235641,29235656,15,22.3,89.2,29235632,9,22.3,0.9
Tb,Ht,2025-08-02 13:03:00,2025-08-02 13:18:00,Spr,41,29235663,29235678,15,22.3,89.2,29235656,7,22.3,1.0
Ht,Ehv,2025-08-02 13:24:00,2025-08-02 13:43:00,Int,6,29235684,29235703,19,32.1,101.4,29235678,6,32.1,1.3
Ehv,Ehs,2025-08-02 13:51:00,2025-08-02 13:54:00,Spr,81,29235711,29235714,3,2.6,52.0,29235703,8,0.0,0.0
Ehs,Bet,2025-08-02 13:54:00,2025-08-02 14:00:00,Spr,81,29235714,29235720,6,7.4,74.0,29235714,0,0.0,0.0
Bet,Btl,2025-08-02 14:00:00,2025-08-02 14:07:00,Spr,81,29235720,29235727,7,9.9,84.9,29235720,0,0.0,0.0
Btl,Ot,2025-08-02 14:07:00,2025-08-02 14:14:00,Spr,81,29235727,29235734,7,8.9,76.3,29235727,0,8.9,1.3
Ot,Tb,2025-08-02 14:14:00,2025-08-02 14:20:00,Spr,81,29235734,29235740,6,8.1,81.0,29235734,0,8.1,1.3
Tb,Ehv,2025-08-02 14:24:00,2025-08-02 14:47:00,Int,59,29235744,29235767,23,36.9,96.3,29235740,4,17.0,0.6
