Stop_ID,Station,To,Departure,Arrival,Type,Section_ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Speed_With_Stop,Score,Got_Stamp
171106377,Ehv,Ht,2026-07-25 08:04:00,2026-07-25 08:23:00,Int,18837202,29749444,29749463,19,32.1,101.4,29749437,7,32.1,74.1,74.1,0
171106378,Ht,Ut,2026-07-25 08:24:00,2026-07-25 08:49:00,Int,18837202,29749464,29749489,25,48.1,115.4,29749463,1,48.1,111.0,114.2,0
171112456,Ut,Gd,2026-07-25 09:03:00,2026-07-25 09:21:00,Int,18837816,29749503,29749521,18,32.7,109.0,29749489,14,32.7,61.3,69.3,0
171112457,Gd,Rta,2026-07-25 09:22:00,2026-07-25 09:30:00,Int,18837816,29749522,29749530,8,13.6,102.0,29749521,1,13.6,90.7,102.0,0
171112458,Rta,Rtd,2026-07-25 09:30:00,2026-07-25 09:40:00,Int,18837816,29749530,29749540,10,10.2,61.2,29749530,0,10.2,61.2,73.9,0
171111115,Rtd,Bd,2026-07-25 09:53:00,2026-07-25 10:16:00,Int,18837679,29749553,29749576,23,45.8,119.5,29749540,13,45.8,76.3,90.0,0
171115355,Bd,Tb,2026-07-25 10:19:00,2026-07-25 10:32:00,Int,18838113,29749579,29749592,13,21.6,99.7,29749576,3,21.6,81.0,99.2,0
171115356,Tb,Ht,2026-07-25 10:34:00,2026-07-25 10:49:00,Int,18838113,29749594,29749609,15,22.3,89.2,29749592,2,22.3,78.7,99.1,0
171115357,Ht,O,2026-07-25 10:52:00,2026-07-25 11:03:00,Int,18838113,29749612,29749623,11,18.8,102.5,29749609,3,18.8,80.6,103.2,0
171115358,O,Nm,2026-07-25 11:03:00,2026-07-25 11:22:00,Int,18838113,29749623,29749642,19,24.7,78.0,29749623,0,24.7,78.0,102.5,0
171120148,Nm,Ah,2026-07-25 11:27:00,2026-07-25 11:40:00,Int,18838594,29749647,29749660,13,18.6,85.8,29749642,5,18.6,62.0,89.0,0
171120149,Ah,Ed,2026-07-25 11:46:00,2026-07-25 11:55:00,Int,18838594,29749666,29749675,9,16.7,111.3,29749660,6,16.7,66.8,95.7,0
