Station,To,Departure,Arrival,Type,ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Score
Hdrz,Ana,2025-10-04 13:08:00,2025-10-04 13:14:00,Int,16910716,29326388,29326394,6,8.9,89.0,29326388,0,0.0,0.0
Ana,Sgn,2025-10-04 13:15:00,2025-10-04 13:22:00,Int,16910716,29326395,29326402,7,9.1,78.0,29326394,1,0.0,0.0
Sgn,Hwd,2025-10-04 13:22:00,2025-10-04 13:31:00,Int,16910716,29326402,29326411,9,13.9,92.7,29326402,0,0.0,0.0
Hwd,Obd,2025-10-04 13:38:00,2025-10-04 13:43:00,Spr,16910106,29326418,29326423,5,6.0,72.0,29326411,7,6.0,0.5
Obd,Hn,2025-10-04 13:44:00,2025-10-04 13:53:00,Spr,16910106,29326424,29326433,9,10.9,72.7,29326423,1,10.9,1.1
Hn,Hnk,2025-10-04 13:58:00,2025-10-04 14:02:00,Int,16910469,29326438,29326442,4,2.2,33.0,29326433,5,2.2,0.2
Hnk,Hks,2025-10-04 14:02:00,2025-10-04 14:09:00,Int,16910469,29326442,29326449,7,7.9,67.7,29326442,0,7.9,1.1
Hks,Hnk,2025-10-04 14:22:00,2025-10-04 14:29:00,Int,16911124,29326462,29326469,7,7.9,67.7,29326449,13,0.0,0.0
Hnk,Hn,2025-10-04 14:29:00,2025-10-04 14:33:00,Int,16911124,29326469,29326473,4,2.2,33.0,29326469,0,0.0,0.0
Hn,Ass,2025-10-04 14:35:00,2025-10-04 14:59:00,Int,16911124,29326475,29326499,24,41.0,102.5,29326473,2,0.0,0.0
Ass,Hlm,2025-10-04 15:11:00,2025-10-04 15:21:00,Int,16911484,29326511,29326521,10,14.6,87.6,29326499,12,14.6,0.7
Hlm,Had,2025-10-04 15:23:00,2025-10-04 15:28:00,Int,16911484,29326523,29326528,5,4.5,54.0,29326521,2,4.5,0.6
Had,Ledn,2025-10-04 15:28:00,2025-10-04 15:43:00,Int,16911484,29326528,29326543,15,24.6,98.4,29326528,0,24.6,1.6
Ledn,Gvc,2025-10-04 15:48:00,2025-10-04 15:59:00,Int,16911058,29326548,29326559,11,15.4,84.0,29326543,5,15.4,1.0
Gvc,Vb,2025-10-04 16:13:00,2025-10-04 16:17:00,Spr,16911912,29326573,29326577,4,3.1,46.5,29326559,14,3.1,0.2
Vb,Ypb,2025-10-04 16:17:00,2025-10-04 16:20:00,Spr,16911912,29326577,29326580,3,2.4,48.0,29326577,0,2.4,0.8
Ypb,Ztm,2025-10-04 16:20:00,2025-10-04 16:25:00,Spr,16911912,29326580,29326585,5,6.1,73.2,29326580,0,6.1,1.2
Ztm,Ztmo,2025-10-04 16:25:00,2025-10-04 16:27:00,Spr,16911912,29326585,29326587,2,1.2,36.0,29326585,0,1.2,0.6
Ztmo,Llzm,2025-10-04 16:27:00,2025-10-04 16:30:00,Spr,16911912,29326587,29326590,3,2.0,40.0,29326587,0,2.0,0.7
Llzm,Gd,2025-10-04 16:30:00,2025-10-04 16:40:00,Spr,16911912,29326590,29326600,10,13.4,80.4,29326590,0,13.4,1.3
Gd,Rta,2025-10-04 16:52:00,2025-10-04 17:01:00,Int,16912040,29326612,29326621,9,13.6,90.7,29326600,12,13.6,0.6
Rta,Rtd,2025-10-04 17:01:00,2025-10-04 17:10:00,Int,16912040,29326621,29326630,9,10.2,68.0,29326621,0,10.2,1.1
Rtd,Rtn,2025-10-04 17:24:00,2025-10-04 17:29:00,Spr,16912366,29326644,29326649,5,5.0,60.0,29326630,14,5.0,0.3
Rtn,Rta,2025-10-04 17:29:00,2025-10-04 17:33:00,Spr,16912366,29326649,29326653,4,5.2,78.0,29326649,0,5.2,1.3
Rta,Cps,2025-10-04 17:34:00,2025-10-04 17:37:00,Spr,16912366,29326654,29326657,3,2.0,40.0,29326653,1,2.0,0.5
Cps,Nwk,2025-10-04 17:37:00,2025-10-04 17:41:00,Spr,16912366,29326657,29326661,4,2.2,33.0,29326657,0,2.2,0.6
Nwk,Gd,2025-10-04 17:41:00,2025-10-04 17:48:00,Spr,16912366,29326661,29326668,7,9.4,80.6,29326661,0,9.4,1.3
Gd,Gdg,2025-10-04 17:49:00,2025-10-04 17:52:00,Spr,16912366,29326669,29326672,3,1.4,28.0,29326668,1,1.4,0.3
Gdg,Wd,2025-10-04 17:52:00,2025-10-04 18:01:00,Spr,16912366,29326672,29326681,9,15.4,102.7,29326672,0,15.4,1.7
Wd,Bkl,2025-10-04 18:03:00,2025-10-04 18:11:00,Spr,16912366,29326683,29326691,8,12.6,94.5,29326681,2,12.6,1.3
Bkl,Ac,2025-10-04 18:11:00,2025-10-04 18:19:00,Spr,16912366,29326691,29326699,8,11.3,84.8,29326691,0,11.3,1.4
Ac,Ashd,2025-10-04 18:19:00,2025-10-04 18:22:00,Spr,16912366,29326699,29326702,3,5.0,100.0,29326699,0,5.0,1.7
Ashd,Asb,2025-10-04 18:22:00,2025-10-04 18:25:00,Spr,16912366,29326702,29326705,3,1.1,22.0,29326702,0,1.1,0.4
Asb,Asdz,2025-10-04 18:28:00,2025-10-04 18:34:00,Int,16912455,29326708,29326714,6,5.8,58.0,29326705,3,5.8,0.6
Asdz,Alm,2025-10-04 18:41:00,2025-10-04 19:01:00,Int,16912761,29326721,29326741,20,28.0,84.0,29326714,7,27.2,1.0
Alm,Lls,2025-10-04 19:03:00,2025-10-04 19:16:00,Int,16912761,29326743,29326756,13,24.9,114.9,29326741,2,24.9,1.7
Lls,Zl,2025-10-04 19:17:00,2025-10-04 19:43:00,Int,16912761,29326757,29326783,26,50.0,115.4,29326756,1,50.0,1.9
Zl,Wh,2025-10-04 19:50:00,2025-10-04 20:00:00,Spr,16913238,29326790,29326800,10,14.0,84.0,29326783,7,14.0,0.8
