Station,To,Departure,Arrival,Type,ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Score
Ehv,Tb,2025-10-04 08:04:00,2025-10-04 08:25:00,Int,16908477,29326084,29326105,21,36.9,105.4,29326080,4,36.9,1.5
Tb,Bd,2025-10-04 08:28:00,2025-10-04 08:40:00,Int,16908477,29326108,29326120,12,21.6,108.0,29326105,3,21.6,1.4
Bd,Rtd,2025-10-04 08:53:00,2025-10-04 09:15:00,Int,16908906,29326133,29326155,22,45.8,124.9,29326120,13,45.8,1.3
Rtd,Dt,2025-10-04 09:18:00,2025-10-04 09:29:00,Int,16908906,29326158,29326169,11,14.9,81.3,29326155,3,14.9,1.1
Dt,Gv,2025-10-04 09:29:00,2025-10-04 09:36:00,Int,16908906,29326169,29326176,7,7.4,63.4,29326169,0,7.4,1.1
Gv,Gvc,2025-10-04 09:38:00,2025-10-04 09:41:00,Int,16908906,29326178,29326181,3,1.8,36.0,29326176,2,1.8,0.4
Gvc,Gd,2025-10-04 09:55:00,2025-10-04 10:13:00,Int,16909556,29326195,29326213,18,28.2,94.0,29326181,14,28.2,0.9
Gd,Ut,2025-10-04 10:14:00,2025-10-04 10:32:00,Int,16909556,29326214,29326232,18,32.7,109.0,29326213,1,32.7,1.7
Ut,Asa,2025-10-04 10:39:00,2025-10-04 10:57:00,Int,16909463,29326239,29326257,18,33.8,112.7,29326232,7,33.8,1.4
Asa,Asd,2025-10-04 10:57:00,2025-10-04 11:06:00,Int,16909463,29326257,29326266,9,6.2,41.3,29326257,0,6.2,0.7
Asd,Ass,2025-10-04 11:09:00,2025-10-04 11:15:00,Int,16909463,29326269,29326275,6,5.0,50.0,29326266,3,5.0,0.6
Ass,Hn,2025-10-04 11:28:00,2025-10-04 11:54:00,Int,16909728,29326288,29326314,26,41.0,94.6,29326275,13,41.0,1.1
Hn,Obd,2025-10-04 12:05:00,2025-10-04 12:13:00,Spr,16910352,29326325,29326333,8,10.9,81.8,29326314,11,10.9,0.6
Obd,Hwd,2025-10-04 12:14:00,2025-10-04 12:20:00,Spr,16910352,29326334,29326340,6,6.0,60.0,29326333,1,6.0,0.9
Hwd,Sgn,2025-10-04 12:27:00,2025-10-04 12:36:00,Int,16909655,29326347,29326356,9,13.9,92.7,29326340,7,13.9,0.9
Sgn,Ana,2025-10-04 12:36:00,2025-10-04 12:43:00,Int,16909655,29326356,29326363,7,9.1,78.0,29326356,0,9.1,1.3
Ana,Hdrz,2025-10-04 12:45:00,2025-10-04 12:52:00,Int,16909655,29326365,29326372,7,8.9,76.3,29326363,2,8.9,1.0
Hdrz,Hdr,2025-10-04 12:52:00,2025-10-04 12:56:00,Int,16909655,29326372,29326376,4,2.6,39.0,29326372,0,2.6,0.7
Hdr,Hdrz,2025-10-04 13:04:00,2025-10-04 13:08:00,Int,16910716,29326384,29326388,4,2.6,39.0,29326376,8,0.0,0.0
