Stop_ID,Station,To,Departure,Arrival,Type,Section_ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Speed_With_Stop,Score,Got_Stamp
152972345,Ehv,Tb,2025-10-04 08:14:00,2025-10-04 08:35:00,Int,16908906,29326094,29326115,21,36.9,105.4,29326080,14,36.9,63.3,63.3,0
152972346,Tb,Bd,2025-10-04 08:38:00,2025-10-04 08:51:00,Int,16908906,29326118,29326131,13,21.6,99.7,29326115,3,21.6,81.0,84.7,0
152972347,Bd,Rtd,2025-10-04 08:53:00,2025-10-04 09:15:00,Int,16908906,29326133,29326155,22,45.8,124.9,29326131,2,45.8,114.5,120.3,0
152975842,Rtd,Rta,2025-10-04 09:20:00,2025-10-04 09:28:00,Int,16909318,29326160,29326168,8,10.2,76.5,29326155,5,10.2,47.1,57.5,0
152975843,Rta,Gd,2025-10-04 09:28:00,2025-10-04 09:38:00,Int,16909318,29326168,29326178,10,13.6,81.6,29326168,0,13.6,81.6,93.1,0
152976198,Gd,Ut,2025-10-04 09:44:00,2025-10-04 10:02:00,Int,16909359,29326184,29326202,18,32.7,109.0,29326178,6,32.7,81.8,94.6,0
152976199,Ut,Amf,2025-10-04 10:07:00,2025-10-04 10:20:00,Int,16909359,29326207,29326220,13,21.4,98.8,29326202,5,21.4,71.3,87.4,0
152977017,Amf,Zl,2025-10-04 10:35:00,2025-10-04 11:10:00,Int,16909449,29326235,29326270,35,66.5,114.0,29326220,15,66.5,79.8,98.0,0
152978913,Zl,Lls,2025-10-04 11:16:00,2025-10-04 11:41:00,Int,16909669,29326276,29326301,25,50.0,120.0,29326270,6,50.0,96.8,121.6,0
152978914,Lls,Alm,2025-10-04 11:43:00,2025-10-04 11:56:00,Int,16909669,29326303,29326316,13,24.9,114.9,29326301,2,24.9,99.6,129.5,0
152978915,Alm,Asdz,2025-10-04 11:58:00,2025-10-04 12:18:00,Int,16909669,29326318,29326338,20,28.0,84.0,29326316,2,28.0,76.4,108.7,0
152978916,Asdz,Shl,2025-10-04 12:24:00,2025-10-04 12:30:00,Int,16909669,29326344,29326350,6,9.2,92.0,29326338,6,9.2,46.0,81.2,0
152984084,Shl,Rtd,2025-10-04 12:42:00,2025-10-04 13:08:00,Int,16910271,29326362,29326388,26,52.4,120.9,29326350,12,52.4,82.7,118.8,0
152984700,Rtd,Bd,2025-10-04 13:23:00,2025-10-04 13:46:00,Int,16910340,29326403,29326426,23,45.8,119.5,29326393,10,45.8,83.3,124.6,1
152989236,Bd,Tb,2025-10-04 13:49:00,2025-10-04 14:01:00,Int,16910861,29326429,29326441,12,21.6,108.0,29326426,3,21.6,86.4,132.3,1
