Station,To,Departure,Arrival,Type,ID
Ht,Ehv,2025-08-02 12:08,2025-08-02 12:27,Int,1
Ht,Ehv,2025-08-02 12:24,2025-08-02 12:43,Int,2
Ht,Ehv,2025-08-02 12:38,2025-08-02 12:57,Int,3
Ht,Ehv,2025-08-02 12:54,2025-08-02 13:13,Int,4
Ht,Ehv,2025-08-02 13:08,2025-08-02 13:27,Int,5
Ht,Ehv,2025-08-02 13:24,2025-08-02 13:43,Int,6
Ht,Ehv,2025-08-02 13:38,2025-08-02 13:57,Int,7
Ht,Ehv,2025-08-02 13:54,2025-08-02 14:13,Int,8
Ht,Ehv,2025-08-02 14:08,2025-08-02 14:27,Int,9
Ht,Ehv,2025-08-02 14:24,2025-08-02 14:43,Int,10
Ht,Ehv,2025-08-02 14:38,2025-08-02 14:57,Int,11
Ehv,Ht,2025-08-02 12:02,2025-08-02 12:21,Int,13
Ehv,Ht,2025-08-02 12:17,2025-08-02 12:36,Int,14
Ehv,Ht,2025-08-02 12:32,2025-08-02 12:51,Int,15
Ehv,Ht,2025-08-02 12:47,2025-08-02 13:06,Int,16
Ehv,Ht,2025-08-02 13:02,2025-08-02 13:21,Int,17
Ehv,Ht,2025-08-02 13:17,2025-08-02 13:36,Int,18
Ehv,Ht,2025-08-02 13:32,2025-08-02 13:51,Int,19
Ehv,Ht,2025-08-02 13:47,2025-08-02 14:06,Int,20
Ehv,Ht,2025-08-02 14:02,2025-08-02 14:21,Int,21
Ehv,Ht,2025-08-02 14:17,2025-08-02 14:36,Int,22
Ehv,Ht,2025-08-02 14:32,2025-08-02 14:51,Int,23
Ht,Tb,2025-08-02 12:03,2025-08-02 12:17,Spr,25
Ht,Tb,2025-08-02 12:11,2025-08-02 12:26,Spr,26
Ht,Tb,2025-08-02 12:33,2025-08-02 12:47,Spr,27
Ht,Tb,2025-08-02 12:41,2025-08-02 12:56,Spr,28
Ht,Tb,2025-08-02 13:03,2025-08-02 13:17,Spr,29
Ht,Tb,2025-08-02 13:11,2025-08-02 13:26,Spr,30
Ht,Tb,2025-08-02 13:33,2025-08-02 13:47,Spr,31
Ht,Tb,2025-08-02 13:41,2025-08-02 13:56,Spr,32
Ht,Tb,2025-08-02 14:03,2025-08-02 14:17,Spr,33
Ht,Tb,2025-08-02 14:11,2025-08-02 14:26,Spr,34
Ht,Tb,2025-08-02 14:33,2025-08-02 14:47,Spr,35
Ht,Tb,2025-08-02 14:41,2025-08-02 14:56,Spr,36
Tb,Ht,2025-08-02 12:03,2025-08-02 12:18,Spr,37
Tb,Ht,2025-08-02 12:13,2025-08-02 12:28,Spr,38
Tb,Ht,2025-08-02 12:33,2025-08-02 12:48,Spr,39
Tb,Ht,2025-08-02 12:43,2025-08-02 12:58,Spr,40
Tb,Ht,2025-08-02 13:03,2025-08-02 13:18,Spr,41
Tb,Ht,2025-08-02 13:13,2025-08-02 13:28,Spr,42
Tb,Ht,2025-08-02 13:33,2025-08-02 13:48,Spr,43
Tb,Ht,2025-08-02 13:43,2025-08-02 13:58,Spr,44
Tb,Ht,2025-08-02 14:03,2025-08-02 14:18,Spr,45
Tb,Ht,2025-08-02 14:13,2025-08-02 14:28,Spr,46
Tb,Ht,2025-08-02 14:33,2025-08-02 14:48,Spr,47
Tb,Ht,2025-08-02 14:43,2025-08-02 14:58,Spr,48
Ehv,Tb,2025-08-02 12:14,2025-08-02 12:35,Int,49
Ehv,Tb,2025-08-02 12:43,2025-08-02 13:05,Int,50
Ehv,Tb,2025-08-02 13:14,2025-08-02 13:35,Int,51
Ehv,Tb,2025-08-02 13:43,2025-08-02 14:05,Int,52
Ehv,Tb,2025-08-02 14:14,2025-08-02 14:35,Int,53
Tb,Ehv,2025-08-02 12:24,2025-08-02 12:47,Int,55
Tb,Ehv,2025-08-02 12:54,2025-08-02 13:18,Int,56
Tb,Ehv,2025-08-02 13:24,2025-08-02 13:47,Int,57
Tb,Ehv,2025-08-02 13:54,2025-08-02 14:18,Int,58
Tb,Ehv,2025-08-02 14:24,2025-08-02 14:47,Int,59
Ht,Vg,2025-08-02 12:28,2025-08-02 12:32,Spr,61
Vg,Btl,2025-08-02 12:32,2025-08-02 12:38,Spr,61
Btl,Bet,2025-08-02 12:38,2025-08-02 12:45,Spr,61
Bet,Ehs,2025-08-02 12:45,2025-08-02 12:51,Spr,61
Ehs,Ehv,2025-08-02 12:51,2025-08-02 12:54,Spr,61
Ht,Vg,2025-08-02 13:00,2025-08-02 13:04,Spr,62
Vg,Btl,2025-08-02 13:04,2025-08-02 13:10,Spr,62
Btl,Bet,2025-08-02 13:10,2025-08-02 13:17,Spr,62
Bet,Ehs,2025-08-02 13:17,2025-08-02 13:23,Spr,62
Ehs,Ehv,2025-08-02 13:23,2025-08-02 13:26,Spr,62
