Station;Code
Mook-Molenhoek;Mmlh
Naarden-Bussum;Ndb
Nieuw Amsterdam;Na
Nieuwerkerk aan den IJssel;Nwk
Nieuw-Vennep;Nvp
Nijkerk;Nkk
Nijmegen Dukenburg;Nmd
Nijmegen Goffert;Nmgo
Nijmegen Heyendaal;Nmh
Nijmegen Lent;Nml
Nijmegen;Nm
Nijverdal;Nvd
Nunspeet;Ns
Nuth;Nh
Obdam;Obd
Oisterwijk;Ot
Oldenzaal;Odz
Olst;Ost
Ommen;Omn
Oosterbeek;Otb
Opheusden;Op
Oss;O
Oss West;Ow
Oudenbosch;Odb
Overveen;Ovn
Purmerend Overwhere;Pmo
Purmerend;Pmr
Purmerend Weidevenne;Pmw
Putten;Pt
Raalte;Rat
Ravenstein;Rvs
Reuver;Rv
Rheden;Rh
Rhenen;Rhn
Rijssen;Rsn
Rijswijk;Rsw
Rilland-Bath;Rb
Roermond;Rm
Roodeschool;Rd
Roosendaal;Rsd
Rosmalen;Rs
Rotterdam Alexander;Rta
Rotterdam Blaak;Rtb
Rotterdam Centraal;Rtd
Rotterdam Lombardijen;Rlb
Rotterdam Noord;Rtn
Rotterdam Stadion;Rtst
Rotterdam Zuid;Rtz
Ruurlo;Rl
Santpoort Noord;Sptn
Santpoort Zuid;Sptz
Sassenheim;Ssh
Sauwerd;Swd
Schagen;Sgn
Scheemda;Sda
Schiedam Centrum;Sdm
Schin op Geul;Sog
Schinnen;Sn
Schiphol;Shl
's-Hertogenbosch Oost;Hto
's-Hertogenbosch;Ht
Sittard;Std
Sliedrecht Baanhoek;Sdtb
Sliedrecht;Sdt
Sneek Noord;Sknd
Sneek;Sk
Soest (Netherlands);St
Soest Zuid;Stz
Soestdijk;Sd
Spaubeek;Sbk
Stavoren;Stv
Stedum;Stm
Steenwijk;Swk
Susteren;Srn
Swalmen;Sm
't Harde;Hde
Tegelen;Tg
Terborg;Tbg
Tiel Passewaaij;Tpsw
Tiel;Tl
Tilburg;Tb
Tilburg Reeshof;Tbr
Tilburg Universiteit;Tbu
Twello;Twl
Uitgeest;Utg
Uithuizen;Uhz
Uithuizermeeden;Uhm
Usquert;Ust
Utrecht Centraal;Ut
Utrecht Leidsche Rijn;Utlr
Utrecht Lunetten;Utl
Utrecht Maliebaan;Utm
Utrecht Overvecht;Uto
Utrecht Terwijde;Utt
Utrecht Vaartsche Rijn;Utvr
Utrecht Zuilen;Utzl
Valkenburg;Vk
Varsseveld;Vsv
Veendam;Vdm
Veenendaal Centrum;Vndc
Veenendaal West;Vndw
Veenendaal-De Klomp;Klp
Velp;Vp
Venlo;Vl
Venray;Vry
Vierlingsbeek;Vlb
Vleuten;Vtn
Vlissingen;Vs
Vlissingen Souburg;Vss
Voerendaal;Vdl
Voorburg;Vb
Voorhout;Vh
Voorschoten;Vst
Voorst-Empe;Vem
Vorden;Vd
Vriezenveen;Vz
Vroomshoop;Vhp
Vught;Vg
Waddinxveen Noord;Wadn
Waddinxveen;Wad
Waddinxveen Triangel;Wadt
Warffum;Wfm
Weert;Wt
Weesp;Wp
Wehl;Wl
Westervoort;Wtv
Wezep;Wz
Wierden;Wdn
Wijchen;Wc
Wijhe;Wh
Winschoten;Ws
Winsum;Wsm
Winterswijk;Ww
