code;name_long;country;type
DL;Dalfsen;NL;sneltreinstation
DVNK;De Vink;NL;stoptreinstation
DWE;De Westereen;NL;stoptreinstation
DEI;Deinum;NL;stoptreinstation
DDN;Delden;NL;stoptreinstation
DT;Delft;NL;knooppuntIntercitystation
DTCP;Delft Campus;NL;stoptreinstation
DZ;Delfzijl;NL;stoptreinstation
DZW;Delfzijl West;NL;stoptreinstation
DLD;Den Dolder;NL;knooppuntStoptreinstation
GVC;Den Haag Centraal;NL;megastation
GV;Den Haag HS;NL;knooppuntIntercitystation
LAA;Den Haag Laan v NOI;NL;knooppuntStoptreinstation
GVM;Den Haag Mariahoeve;NL;stoptreinstation
GVMW;Den Haag Moerwijk;NL;stoptreinstation
YPB;Den Haag Ypenburg;NL;stoptreinstation
HDR;Den Helder;NL;intercitystation
HDRZ;Den Helder Zuid;NL;stoptreinstation
DN;Deurne;NL;stoptreinstation
DV;Deventer;NL;knooppuntIntercitystation
DVC;Deventer Colmschate;NL;stoptreinstation
DID;Didam;NL;stoptreinstation
DMN;Diemen;NL;stoptreinstation
DMNZ;Diemen Zuid;NL;stoptreinstation
GDP;Diepenbeek;B;stoptreinstation
DR;Dieren;NL;intercitystation
DTC;Doetinchem;NL;knooppuntStoptreinstation
DTCH;Doetinchem De Huet;NL;stoptreinstation
DDR;Dordrecht;NL;knooppuntIntercitystation
DDRS;Dordrecht Stadspolders;NL;stoptreinstation
DDZD;Dordrecht Zuid;NL;stoptreinstation
EDD;Dortmund Derne;D;stoptreinstation
EDO;Dortmund Hbf;D;knooppuntIntercitystation
EDKD;Dortmund Kirchderne;D;stoptreinstation
DB;Driebergen-Zeist;NL;knooppuntStoptreinstation
DRH;Driehuis;NL;stoptreinstation
DRP;Dronryp;NL;stoptreinstation
DRON;Dronten;NL;stoptreinstation
DUISB;Duisburg Hbf;D;knooppuntIntercitystation
DVN;Duiven;NL;stoptreinstation
DVD;Duivendrecht;NL;knooppuntStoptreinstation
KDUL;Dülken;D;intercitystation
EDULH;Dülmen;D;stoptreinstation
KDFFH;Düsseldorf Flughafen;D;knooppuntIntercitystation
DUSSEL;Düsseldorf Hbf;D;megastation
EC;Echt;NL;stoptreinstation
EDC;Ede Centrum;NL;stoptreinstation
ED;Ede-Wageningen;NL;knooppuntIntercitystation
EEM;Eemshaven;NL;stoptreinstation
EDN;Eijsden;NL;stoptreinstation
EHV;Eindhoven Centraal;NL;megastation
EHS;Eindhoven Strijp-S;NL;stoptreinstation
LKR;Ekeren;B;stoptreinstation
EST;Elst;NL;knooppuntStoptreinstation
EMN;Emmen;NL;sneltreinstation
EMNZ;Emmen Zuid;NL;sneltreinstation
EM;Emmerich;D;knooppuntStoptreinstation
EL;Emmerich-Elten;D;stoptreinstation
EKZ;Enkhuizen;NL;stoptreinstation
EENP;Ennepetal;D;stoptreinstation
ES;Enschede;NL;knooppuntIntercitystation
ESE;Enschede De Eschmarke;NL;stoptreinstation
ESK;Enschede Kennispark;NL;stoptreinstation
EEPE;Epe (Westf);D;stoptreinstation
EML;Ermelo;NL;stoptreinstation
ESN;Essen;B;stoptreinstation
ETN;Etten-Leur;NL;intercitystation
EGH;Eygelshoven;NL;stoptreinstation
EGHM;Eygelshoven Markt;NL;stoptreinstation
FWD;Feanwâlden;NL;stoptreinstation
LIVOR;Firenze Campo di Marte;I;intercitystation
FN;Franeker;NL;stoptreinstation
FFFM;Frankfurt (M) Hbf;D;knooppuntIntercitystation
FFS;Frankfurt (Main) Süd;D;intercitystation
FNAF;Frankfurt Flughafen Fernb;D;knooppuntIntercitystation
RF;Freiburg (Breisgau) Hbf;D;sneltreinstation
GDR;Gaanderen;NL;stoptreinstation
GDM;Geldermalsen;NL;knooppuntStoptreinstation
GP;Geldrop;NL;knooppuntStoptreinstation
GLN;Geleen Oost;NL;stoptreinstation
LUT;Geleen-Lutterade;NL;stoptreinstation
FGSP;Gent Sint Pieters;B;stoptreinstation
GZ;Gilze-Rijen;NL;stoptreinstation
GBR;Glanerbrug;NL;stoptreinstation
