Station,To,Departure,Arrival,Type,ID,Departure_Int,Arrival_Int,Duration,Distance,Speed,Current_Time,Waiting_Time,Distance_Counted,Score
Ht,Ut,2025-10-04 12:08:00,2025-10-04 12:35:00,Int,16910375,29326328,29326355,27,48.1,106.9,29326320,8,48.1,1.4
Ut,Asa,2025-10-04 12:39:00,2025-10-04 12:57:00,Int,16910212,29326359,29326377,18,33.8,112.7,29326355,4,33.8,1.5
Asa,Asd,2025-10-04 12:57:00,2025-10-04 13:06:00,Int,16910212,29326377,29326386,9,6.2,41.3,29326377,0,6.2,0.7
Asd,Ass,2025-10-04 13:11:00,2025-10-04 13:16:00,Spr,16910757,29326391,29326396,5,5.0,60.0,29326386,5,5.0,0.5
Ass,Hwzb,2025-10-04 13:16:00,2025-10-04 13:21:00,Spr,16910757,29326396,29326401,5,6.0,72.0,29326396,0,6.0,1.2
Hwzb,Ass,2025-10-04 13:25:00,2025-10-04 13:30:00,Spr,16910683,29326405,29326410,5,6.0,72.0,29326401,4,6.0,0.7
Ass,Asd,2025-10-04 13:30:00,2025-10-04 13:35:00,Spr,16910683,29326410,29326415,5,5.0,60.0,29326410,0,5.0,1.0
Asd,Alm,2025-10-04 13:38:00,2025-10-04 13:57:00,Int,16910929,29326418,29326437,19,28.5,90.0,29326415,3,24.9,1.1
Alm,Lls,2025-10-04 14:03:00,2025-10-04 14:16:00,Int,16910871,29326443,29326456,13,24.9,114.9,29326437,6,24.9,1.3
Lls,Zl,2025-10-04 14:17:00,2025-10-04 14:43:00,Int,16910871,29326457,29326483,26,50.0,115.4,29326456,1,50.0,1.9
Zl,Wh,2025-10-04 14:50:00,2025-10-04 15:00:00,Spr,16911371,29326490,29326500,10,14.0,84.0,29326483,7,14.0,0.8
